,object id,city,district,sub district key,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition
12073,201376,11,4,4030827,Karl-August-Platz,2019,11,8,4,3,2,6,0,0,1,0,0,0,0,1
12074,201377,11,4,4030621,Spreestadt,2019,11,6,4,3,6,4,1,0,1,1,0,0,0,1
12075,201378,11,6,6030610,Lichterfelde West,2019,11,7,4,2,5,2,0,1,1,0,0,0,0,1
12076,201379,11,7,7060604,Marienfelde Süd,2019,11,7,4,3,3,6,2,0,1,0,0,1,0,1
12077,201380,11,4,4030518,Tegeler Weg,2019,11,7,4,3,5,2,0,0,1,0,0,0,1,1
12078,201381,11,9,9010302,Späthsfelde,2019,11,16,4,2,5,3,2,1,1,0,0,0,0,0
12079,201382,11,4,4030931,Breitscheidplatz,2019,11,15,4,3,6,4,1,1,0,1,0,0,0,0
12080,201383,11,12,12214527,Alt-Tegel,2019,11,14,4,3,0,1,0,0,1,0,1,0,0,1
12081,201384,11,11,11020514,Große-Leege-Straße,2019,11,14,4,3,6,4,0,0,0,1,0,0,1,1
12082,201385,11,8,8020727,Buckow Mitte,2019,11,13,4,3,4,6,0,0,1,0,0,0,0,1
12083,201386,11,5,5020523,Maulbeerallee,2019,11,7,4,3,5,2,0,0,1,0,1,0,0,1
12084,201387,11,4,4030931,Breitscheidplatz,2019,11,7,4,3,0,3,1,1,1,0,0,0,0,1
12085,201388,11,4,4030415,Schloßgarten,2019,11,6,4,3,6,2,2,0,1,1,0,0,0,1
12086,201389,11,1,1011302,Oranienburger Straße,2019,11,9,4,3,3,6,0,1,1,0,0,0,0,1
12087,201390,11,5,5030731,Gartenfelder Straße,2019,11,6,4,3,7,7,2,1,0,0,0,0,0,1
12088,201391,11,1,1033203,Humboldthain Nordwest,2019,11,5,4,2,5,2,2,1,1,0,0,0,0,1
12089,201392,11,1,1011402,Arkonaplatz,2019,11,4,4,3,0,1,2,0,0,0,0,0,1,1
12090,201393,11,3,3071537,Kollwitzplatz,2019,11,13,3,3,6,4,0,0,1,1,0,0,0,1
12091,201394,11,1,1033102,Gesundbrunnen,2019,11,22,3,3,5,2,2,0,1,0,0,0,1,1
12092,201395,11,1,1011302,Oranienburger Straße,2019,11,22,3,2,6,4,2,0,0,1,1,0,0,1
12093,201396,11,4,4030518,Tegeler Weg,2019,11,23,3,3,2,6,2,0,1,0,0,0,0,1
12094,201397,11,11,11010103,Dorf Falkenberg,2019,11,21,3,3,5,3,2,1,1,0,0,0,0,1
12095,201398,11,7,7040406,Germaniagarten,2019,11,19,3,3,1,5,2,0,1,0,0,0,1,0
12096,201399,11,1,1011202,Unter den Linden Nord,2019,11,19,3,3,6,7,2,0,1,1,0,0,0,1
12097,201400,11,5,5010206,Gütersloher Weg,2019,11,19,3,3,6,2,2,0,1,1,0,0,0,1
12098,201401,11,7,7020203,Kaiser-Wilhelm-Platz,2019,11,20,3,2,6,2,2,0,1,1,0,0,0,1
12099,201402,11,3,3061126,Arnimplatz,2019,11,18,3,3,6,4,2,0,1,1,0,0,0,1
12100,201403,11,10,10010204,Wuhletalstraße,2019,11,17,3,3,2,6,2,0,1,0,0,0,0,0
12101,201404,11,7,7040403,Manteuffelstraße,2019,11,17,3,3,6,2,2,0,1,1,0,0,0,0
12102,201405,11,8,8020622,Parchimer Allee,2019,11,17,3,2,6,4,1,0,1,1,0,0,0,0
12103,201406,11,8,8020620,Tempelhofer Weg,2019,11,16,3,3,2,6,2,0,1,0,0,1,0,0
12104,201407,11,11,11041022,Rosenfelder Ring,2019,11,16,3,3,5,2,2,1,1,0,0,0,0,0
12105,201408,11,4,4020310,Park Ruhwald,2019,11,15,3,3,5,2,0,0,1,0,0,0,1,0
12106,201409,11,4,4030623,Ernst-Reuter-Platz,2019,11,14,3,3,5,3,0,1,1,0,0,0,0,0
12107,201410,11,5,5010314,Carl-Schurz-Straße,2019,11,15,3,2,0,4,1,0,0,1,1,0,0,0
12108,201411,11,7,7070704,Nahariyastraße,2019,11,19,3,2,1,7,2,0,1,0,0,0,0,0
12109,201412,11,7,7020203,Kaiser-Wilhelm-Platz,2019,11,14,3,3,5,7,0,0,1,0,0,0,0,0
12110,201413,11,9,9041401,Allende I,2019,11,14,3,3,2,6,0,0,1,0,0,0,0,0
12111,201414,11,4,4010102,Plötzensee,2019,11,14,3,3,5,2,0,0,1,0,0,0,0,0
12112,201415,11,4,4010101,Jungfernheide,2019,11,15,3,3,2,6,0,0,1,0,0,0,0,0
12113,201416,11,1,1033203,Humboldthain Nordwest,2019,11,11,3,3,1,5,0,0,1,0,0,0,0,0
12114,201417,11,11,11030720,Herzbergstraße,2019,11,11,3,3,2,6,0,0,1,0,0,0,0,0
12115,201418,11,7,7040403,Manteuffelstraße,2019,11,9,3,3,1,5,0,1,1,0,0,0,0,0
12116,201419,11,9,9020802,Köllnische Vorstadt,2019,11,10,3,2,6,7,0,0,1,1,0,0,0,0
12117,201420,11,2,2050601,Hausburgviertel,2019,11,6,3,3,5,2,2,1,1,0,0,0,0,0
12118,201421,11,8,8010510,Gewerbegebiet Köllnische Heide,2019,11,9,3,3,5,3,0,0,1,0,0,0,1,0
12119,201422,11,8,8010404,Rixdorf,2019,11,9,3,3,0,7,0,0,1,0,0,0,0,0
12120,201423,11,4,4051446,Preußenpark,2019,11,8,3,3,5,2,0,1,1,0,0,0,0,0
12121,201424,11,1,1011402,Arkonaplatz,2019,11,8,3,3,5,3,0,1,1,0,0,0,0,0
12122,201425,11,7,7040405,Rathaus Tempelhof,2019,11,8,3,3,5,3,0,0,1,0,0,0,0,0
12123,201426,11,9,9010401,Johannisthal West,2019,11,7,3,3,2,2,0,1,1,0,0,0,0,1
12124,201427,11,2,2030402,Wrangelkiez,2019,11,7,3,3,8,1,1,1,0,0,0,0,0,1
12125,201428,11,3,3030715,Heinersdorf,2019,11,7,3,2,6,2,0,0,0,1,0,1,0,0
12126,201429,11,5,5010314,Carl-Schurz-Straße,2019,11,8,2,3,5,2,0,1,1,0,0,0,0,0
12127,201430,11,8,8020625,Handwerker-Siedlung,2019,11,17,2,3,6,2,2,0,1,1,0,0,0,1
12128,201431,11,9,9031001,Bohnsdorf,2019,11,18,2,3,5,2,2,1,0,0,0,1,0,1
12129,201432,11,4,4051655,Babelsberger Straße,2019,11,18,2,3,2,7,2,0,1,0,0,0,0,1
12130,201433,11,1,1022206,Lüneburger Straße,2019,11,17,2,3,0,1,2,1,0,0,0,0,0,1
12131,201434,11,6,6040810,Dahlem,2019,11,16,2,3,5,3,2,0,1,0,0,0,0,1
12132,201435,11,3,3061126,Arnimplatz,2019,11,17,2,3,5,2,2,1,1,0,0,0,0,1
12133,201436,11,2,2050802,Boxhagener Platz,2019,11,18,2,3,0,7,2,1,0,0,0,0,0,0
12134,201437,11,1,1011301,Charitéviertel,2019,11,16,2,3,6,2,1,0,1,1,0,0,0,1
12135,201438,11,12,12103117,Letteplatz,2019,11,16,2,3,6,6,2,0,1,1,0,0,0,1
12136,201439,11,11,11030618,Fennpfuhl West,2019,11,16,2,3,0,3,2,0,1,0,0,0,1,1
12137,201440,11,4,4051448,Schaperstraße,2019,11,17,2,3,5,3,2,0,1,0,0,0,0,1
12138,201441,11,9,9030901,Dorf Altglienicke,2019,11,17,2,2,6,4,2,0,1,1,0,0,0,1
12139,201442,11,10,10010309,Springpfuhl,2019,11,15,2,3,5,2,0,1,1,0,0,0,0,1
12140,201443,11,1,1011202,Unter den Linden Nord,2019,11,17,2,3,6,4,2,1,0,1,0,0,0,1
12141,201444,11,2,2040701,Andreasviertel,2019,11,15,2,3,5,3,0,1,0,0,0,0,1,1
12142,201445,11,3,3020209,Niederschönhausen,2019,11,13,2,2,5,3,1,1,1,0,0,0,0,1
12143,201446,11,7,7040401,Neu-Tempelhof,2019,11,17,2,2,6,2,2,0,1,1,0,0,0,1
12144,201447,11,12,12304314,Ziekowstraße/Freie Scholle,2019,11,13,2,3,5,3,0,0,1,0,0,0,0,1
12145,201448,11,4,4051551,Brabanter Platz,2019,11,13,2,3,2,3,0,1,1,0,0,0,0,1
12146,201449,11,5,5020627,Tiefwerder,2019,11,17,2,3,2,6,2,0,1,0,0,0,1,1
12147,201450,11,12,12302211,Lübarser Straße,2019,11,17,2,3,6,2,2,0,0,1,0,0,1,1
12148,201451,11,12,12214422,Klixstraße,2019,11,12,2,2,5,2,0,1,0,0,0,1,0,0
12149,201452,11,10,10040931,Mahlsdorf Nord,2019,11,19,2,3,1,5,2,0,1,0,1,0,0,1
12150,201453,11,1,1022106,Elberfelder Straße,2019,11,12,2,2,5,2,0,0,1,0,1,0,0,1
12151,201454,11,1,1011302,Oranienburger Straße,2019,11,19,2,3,2,6,2,0,1,0,1,0,0,1
12152,201455,11,4,4010101,Jungfernheide,2019,11,10,2,3,5,2,0,0,1,0,0,0,1,1
12153,201456,11,5,5020521,Döberitzer Weg,2019,11,9,2,2,5,2,0,0,1,0,0,0,0,0
12154,201457,11,6,6010207,Mittelstraße,2019,11,9,2,3,2,2,0,0,1,0,0,0,0,1
12155,201458,11,3,3040614,Pankow Zentrum,2019,11,9,2,3,6,4,0,0,1,1,0,0,0,0
12156,201459,11,9,9020601,Schnellerstraße,2019,11,8,2,2,6,4,0,0,1,1,0,0,0,1
12157,201460,11,9,9051901,Dammvorstadt,2019,11,8,2,3,5,2,0,1,1,0,0,0,0,1
12158,201461,11,1,1022104,Emdener Straße,2019,11,8,2,3,5,2,0,1,0,0,0,0,1,0
12159,201462,11,1,1011301,Charitéviertel,2019,11,8,2,3,0,1,0,1,0,0,0,0,0,1
12160,201463,11,7,7050501,Rathausstraße,2019,11,7,2,3,2,6,0,0,1,0,1,0,0,1
12161,201464,11,8,8010301,Reuterkiez,2019,11,7,2,3,1,5,0,1,1,0,0,0,1,1
12162,201465,11,6,6020409,Königsberger Straße,2019,11,7,2,3,6,4,0,0,1,1,0,0,0,1
12163,201466,11,12,12214125,Waldidyll/Flughafensee,2019,11,6,2,2,5,2,2,0,1,0,0,0,1,1
12164,201467,11,2,2040703,Wriezener Bahnhof/Entwicklungsgebiet,2019,11,16,1,2,6,4,2,0,1,1,0,0,0,1
12165,201468,11,12,12103219,Schäfersee,2019,11,15,1,3,0,3,0,0,1,0,1,0,0,1
12166,201469,11,3,3050925,Komponistenviertel Weißensee,2019,11,15,1,3,5,3,0,1,1,0,0,0,0,1
12167,201470,11,9,9020802,Köllnische Vorstadt,2019,11,14,1,3,1,7,0,1,0,0,0,0,1,1
12168,201471,11,9,9051801,Rahnsdorf/Hessenwinkel,2019,11,13,1,3,0,7,0,0,0,0,1,0,0,1
12169,201472,11,2,2010101,Askanischer Platz,2019,11,10,1,3,5,3,0,0,1,0,0,0,0,1
