,object id,district,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition,district name,category name,accident detail,accident type detail,light condition,road condition detail
10521,199824,8,Reuterkiez,2019,9,12,6,3,1,5,0,1,1,0,0,0,0,1,Neukölln,Accident with minor injuries,Collision with a moving/standing/parked vehicle,Accident involving parked vehicles,Daylight,Wet/moist/slippery
10522,199825,1,Gesundbrunnen,2019,10,19,1,3,5,2,2,0,1,0,0,0,0,0,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Dark,Dry
10523,199826,1,Leipziger Straße,2019,9,12,6,3,5,2,0,1,1,0,0,0,0,1,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Wet/moist/slippery
10524,199827,7,Marienfelde Süd,2019,9,12,6,2,6,4,0,0,1,1,0,0,0,1,Tempelhof-Schöneberg,Accident with serious injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Wet/moist/slippery
10525,199828,1,Emdener Straße,2019,10,18,1,2,6,4,1,0,1,1,0,0,0,0,Mitte,Accident with serious injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Twilight,Dry
10526,199829,5,Eiswerder,2019,10,18,1,3,2,6,1,0,1,0,0,0,0,0,Spandau,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Twilight,Dry
10527,199830,1,Schillerpark,2019,9,11,6,3,5,2,0,1,1,0,0,0,0,1,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Wet/moist/slippery
10528,199831,11,Rummelsburg,2019,10,21,1,3,2,2,2,0,1,0,1,0,0,0,Lichtenberg,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Turning accident,Dark,Dry
10529,199832,1,Wilhelmstraße,2019,9,21,6,2,6,4,2,0,1,1,0,0,0,0,Mitte,Accident with serious injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Dark,Dry
10530,199833,1,Reinickendorfer Straße,2019,10,16,1,3,2,6,0,0,1,0,0,0,0,0,Mitte,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry
10531,199834,7,Nollendorfplatz,2019,9,18,6,3,5,3,1,1,1,0,0,0,0,1,Tempelhof-Schöneberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Twilight,Wet/moist/slippery
10532,199835,8,Buckow Mitte,2019,10,14,1,3,2,6,0,0,1,0,0,0,0,0,Neukölln,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry
10533,199836,9,Späthsfelde,2019,9,18,6,3,8,1,1,0,1,0,0,0,0,1,Treptow-Köpenick,Accident with minor injuries,Departure from the roadway to the right,Driving accident,Twilight,Wet/moist/slippery
10534,199837,12,Frohnau,2019,10,14,1,3,2,2,0,1,1,0,0,0,0,0,Reinickendorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Turning accident,Daylight,Dry
10535,199838,7,Neu-Tempelhof,2019,10,14,1,3,2,6,0,0,1,0,0,0,0,0,Tempelhof-Schöneberg,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry
