,Unnamed: 0,object id,district,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition,district name,category name,accident detail,accident type detail,light condition,road condition detail,accident count by district,est. population
6395,6395,195698,9,Späthsfelde,2019,5,17,4,3,2,6,0,1,1,0,0,0,0,0.0,Treptow-Köpenick,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry,892,273689.0
6396,6396,195699,4,Reichsstraße,2019,5,17,4,2,6,4,0,0,1,1,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with serious injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Dry,1727,343592.0
6397,6397,195700,1,Beusselkiez,2019,6,16,5,3,6,4,0,0,1,1,0,0,0,1.0,Mitte,Accident with minor injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Wet/moist/slippery,2215,385748.0
6398,6398,195701,7,Hundsteinweg,2019,6,15,5,3,1,5,0,0,1,0,0,0,0,1.0,Tempelhof-Schöneberg,Accident with minor injuries,Collision with a moving/standing/parked vehicle,Accident involving parked vehicles,Daylight,Wet/moist/slippery,1241,350984.0
6399,6399,195702,6,Oberhofer Platz,2019,5,17,4,3,5,3,0,0,1,0,0,0,1,0.0,Steglitz-Zehlendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,851,310071.0
6400,6400,195703,4,Schloßstraße,2019,6,17,5,3,5,3,0,1,1,0,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,1727,343592.0
6401,6401,195704,1,Soldiner Straße,2019,6,17,5,3,4,6,0,0,0,0,1,1,0,0.0,Mitte,Accident with minor injuries,Collision with oncoming vehicle,Collision involving vehicles going in the same way,Daylight,Dry,2215,385748.0
6402,6402,195705,4,Kaiserin-Augusta-Allee,2019,6,17,5,3,5,3,0,0,1,0,0,0,0,0.0,Charlottenburg-Wilmersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,1727,343592.0
6403,6403,195706,12,Schäfersee,2019,6,17,5,3,5,3,0,1,1,0,0,0,0,0.0,Reinickendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,867,266408.0
6404,6404,195707,1,Heine-Viertel Ost,2019,6,16,5,3,5,3,0,0,1,0,0,0,1,0.0,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,2215,385748.0
6405,6405,195708,6,Teltower Damm,2019,6,16,5,3,5,2,0,1,1,0,0,0,0,0.0,Steglitz-Zehlendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,851,310071.0
